npu_id,same_request,previous_request_id,previous_layer,previous_role,request_id,layer,role,profile,previous_profile,next_request_role,start_ms,end_ms,current_compute_C_ms,next_compute_C_ms,period_ms,current_V_per_ssu_GiB,next_V_per_ssu_GiB,current_B_per_ssu_GiB_s,prefetch_budget_demand_per_ssu_GiB_s,derived_complete_cycle_supply_per_ssu_GiB_s,supply_provenance,io_start_time_ms,io_ready_time_ms,ssd_complete_time_ms,ssd_complete_timestamp_available,budget_end_ms,io_elapsed_ms,full_io_stall_ms,warm_io_stall_ms,warm_queue_ms,cycle_compute_fraction_percent,fixed_CIR_read_time_reference_ms,fixed_CIR_reference_is_actual_measurement,prior_role,following_role
4,False,4000037,7,A,4000038,0,B,155.25:4096,10.25:256,B,2840.720457574456,2868.3074388038776,1.8959612617422492,93.62343678022687,27.58698122942178,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0642852783203125,0.0703277587890625,0.0684814453125]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[33.906430272335335,37.093457660857716,36.119643736586994]","[2.330275929276076,2.5493096980853154,2.482382713171381]","complete-cycle volume conservation, not independently logged SSD rates",2840.720457574456,2868.3074388038776,,False,2842.616418836198,27.58698122942178,25.691019967679495,25.691019967679495,0.0,6.8726666610415075,56.26220703125,False,A,B
24,False,24000038,7,A,24000039,0,B,155.25:4096,10.25:256,B,3586.650038457424,3601.286833999534,1.8959612617422492,93.62343678022687,14.636795542109667,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0631103515625,0.0703277587890625,0.0696563720703125]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[33.286730502344874,37.093457660857716,36.739343506577455]","[4.311760137725038,4.804860366241465,4.758990577542263]","complete-cycle volume conservation, not independently logged SSD rates",3586.650038457424,3601.286833999534,,False,3588.5459997191665,14.636795542109667,12.74083428036738,12.74083428036738,0.0,12.953390353015589,56.26220703125,False,A,B
21,False,21000036,7,A,21000037,0,B,155.25:4096,10.25:256,B,2089.883724981173,2104.2024673266646,1.8959612617422492,93.62343678022687,14.3187423454915,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0656280517578125,0.0703277587890625,0.067138671875]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[34.61465858089586,37.093457660857716,35.41141542802646]","[4.5833670426004005,4.911587700382526,4.688866539744655]","complete-cycle volume conservation, not independently logged SSD rates",2089.883724981173,2104.2024673266646,,False,2091.7796862429154,14.3187423454915,12.422781083749214,12.422781083749214,0.0,13.241115846596855,56.26220703125,False,A,B
20,False,20000036,7,A,20000037,0,B,155.25:4096,10.25:256,B,2091.4580349673365,2105.175978068852,1.8959612617422492,93.62343678022687,13.71794310151563,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0689849853515625,0.0703277587890625,0.06378173828125]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[36.38522935229719,37.093457660857716,33.64084465662514]","[5.0288140751903745,5.126698534074858,4.649511797012998]","complete-cycle volume conservation, not independently logged SSD rates",2091.4580349673365,2105.175978068852,,False,2093.353996229079,13.71794310151563,11.821981839773343,11.821981839773343,0.0,13.821031678814688,56.26220703125,False,A,B
27,False,27000038,7,A,27000039,0,B,155.25:4096,10.25:256,B,3586.2514025931664,3598.802703140159,1.8959612617422492,93.62343678022687,12.55130054699248,"[0.00469970703125,0.00469970703125,0.0040283203125]","[0.06781005859375,0.0703277587890625,0.0649566650390625]","[2.4787990799618522,2.4787990799618522,2.1246849256815876]","[35.765529582306726,37.093457660857716,34.2605444266156]","[5.4026320491543425,5.603224823256608,5.175293571838442]","complete-cycle volume conservation, not independently logged SSD rates",3586.2514025931664,3598.802703140159,,False,3588.1473638549087,12.55130054699248,10.655339285250193,10.655339285250193,0.0,15.105695657941649,56.26220703125,False,A,B
19,False,19000036,7,A,19000037,0,B,155.25:4096,10.25:256,B,2089.1886148432895,2101.5169204516646,1.8959612617422492,93.62343678022687,12.328305608375103,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[0.0679779052734375,0.0703277587890625,0.064788818359375]","[2.390270541391786,2.4787990799618522,2.2132134642516537]","[35.85405812087679,37.093457660857716,34.172015888045536]","[5.51396983761154,5.704576202368481,5.25528977115569]","complete-cycle volume conservation, not independently logged SSD rates",2089.1886148432895,2101.5169204516646,,False,2091.084576105032,12.328305608375103,10.432344346632817,10.432344346632817,0.0,15.378928150955701,56.26220703125,False,A,B
0,False,37,7,A,38,0,B,155.25:4096,10.25:256,B,2839.3658018547058,2850.85558028337,1.8959612617422492,93.62343678022687,11.489778428664067,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.064117431640625,0.0703277587890625,0.0686492919921875]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[33.81790173376527,37.093457660857716,36.208172275157054]","[5.580388868132423,6.120897737558861,5.9748142593355]","complete-cycle volume conservation, not independently logged SSD rates",2839.3658018547058,2850.85558028337,,False,2841.261763116448,11.489778428664067,9.59381716692178,9.59381716692178,0.0,16.501286543631768,56.26220703125,False,A,B
17,False,17000036,7,A,17000037,0,B,155.25:4096,10.25:256,B,2090.6775479067896,2101.5839591235394,1.8959612617422492,93.62343678022687,10.906411216749802,"[0.0040283203125,0.00469970703125,0.00469970703125]","[0.0683135986328125,0.0703277587890625,0.064453125]","[2.1246849256815876,2.4787990799618522,2.4787990799618522]","[36.03111519801693,37.093457660857716,33.9949588109054]","[6.263618460295915,6.4482951716559915,5.909654763522436]","complete-cycle volume conservation, not independently logged SSD rates",2090.6775479067896,2101.5839591235394,,False,2092.573509168532,10.906411216749802,9.010449955007516,9.010449955007516,0.0,17.38391505750744,56.26220703125,False,A,B
25,False,25000038,7,A,25000039,0,B,155.25:4096,10.25:256,B,3586.1058410551977,3596.7347320464087,1.8959612617422492,93.62343678022687,10.628890991210938,"[0.0041961669921875,0.00469970703125,0.0045318603515625]","[0.0626068115234375,0.0703277587890625,0.070159912109375]","[2.2132134642516537,2.4787990799618522,2.390270541391786]","[33.02114488663467,37.093457660857716,37.00492912228765]","[5.890248716936439,6.616660086853534,6.600868535333596]","complete-cycle volume conservation, not independently logged SSD rates",3586.1058410551977,3596.7347320464087,,False,3588.00180231694,10.628890991210938,8.732929729468651,8.732929729468651,0.0,17.83780888627069,56.26220703125,False,A,B
23,False,23000036,7,A,23000037,0,B,155.25:4096,10.25:256,B,2088.3612225817355,2098.8313735766646,1.8959612617422492,93.62343678022687,10.4701509949291,"[0.0045318603515625,0.00469970703125,0.0041961669921875]","[0.06781005859375,0.0703277587890625,0.0649566650390625]","[2.390270541391786,2.4787990799618522,2.2132134642516537]","[35.765529582306726,37.093457660857716,34.2605444266156]","[6.476512003178535,6.716976557751996,6.203985507995281]","complete-cycle volume conservation, not independently logged SSD rates",2088.3612225817355,2098.8313735766646,,False,2090.257183843478,10.4701509949291,8.574189733186813,8.574189733186813,0.0,18.108251377277185,56.26220703125,False,A,B
